from,to,intensity,model
Beginner,Beginner,-0.18803592389106125,M1
Beginner,Letter,0.1865204889349586,M1
Beginner,Word,0.0015154349561026597,M1
Letter,Beginner,0.011584629685403395,M1
Letter,Letter,-0.12590241252490417,M1
Letter,Word,0.11422091670402242,M1
Letter,Para,9.686613547834441e-5,M1
Word,Letter,0.013975761141688072,M1
Word,Word,-0.1618478822149276,M1
Word,Para,0.14654660189957225,M1
Word,Story,0.0013255191736672872,M1
Para,Word,0.08662630361225186,M1
Para,Para,-0.14755257434998756,M1
Para,Story,0.0609262707377357,M1
Beginner,Beginner,-0.16182849284760065,M2
Beginner,Letter,0.1617017488035346,M2
Beginner,Word,1.2674404406604948e-4,M2
Letter,Beginner,0.004869584633010122,M2
Letter,Letter,-0.10086295366729463,M2
Letter,Word,0.09595077567129276,M2
Letter,Para,4.259336299174358e-5,M2
Word,Letter,0.006744814064087758,M2
Word,Word,-0.17932862374794933,M2
Word,Para,0.17249218974397543,M2
Word,Story,9.161993988614805e-5,M2
Para,Word,0.11187057314834327,M2
Para,Para,-0.16677236535008164,M2
Para,Story,0.05490179220173836,M2
Beginner,Beginner,-0.20279623983347603,M3
Beginner,Letter,0.20275884660010043,M3
Beginner,Word,3.739323337560231e-5,M3
Letter,Beginner,0.005735390018635908,M3
Letter,Letter,-0.10165478201917695,M3
Letter,Word,0.09590573302839543,M3
Letter,Para,1.3658972145604428e-5,M3
Word,Letter,0.006709446738994256,M3
Word,Word,-0.17787922517315044,M3
Word,Para,0.17112369709987563,M3
Word,Story,4.60813342805594e-5,M3
Para,Word,0.10642888685031335,M3
Para,Para,-0.15846348013217348,M3
Para,Story,0.05203459328186015,M3
Beginner,Beginner,-0.1610836124677129,M4
Beginner,Letter,0.1610832747222895,M4
Beginner,Word,3.3774542341876434e-7,M4
Letter,Beginner,0.0036183298778993548,M4
Letter,Letter,-0.09783821084128407,M4
Letter,Word,0.09420822001647718,M4
Letter,Para,1.1660946907532238e-5,M4
Word,Letter,0.008141210925028257,M4
Word,Word,-0.17701541440140836,M4
Word,Para,0.1683073971036699,M4
Word,Story,5.668063727101928e-4,M4
Para,Word,0.08025152467302474,M4
Para,Para,-0.12415180381043314,M4
Para,Story,0.0439002791374084,M4
